Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell
ENSG00000237683,AL627309.1,-47.859041941281284,0.0014378145219266715,61.59334282792701,0.0087591240875912416,-19.961327766569923,0.0,-0.057032365047342916,0.0,-0.62735601552077203,0.0,6.9114152604935271,0.0038167938931297708
ENSG00000228463,AP006222.2,7.851287941207965,0.0014378145219266715,12.741316220304258,0.0014598540145985401,-11.550338872643044,0.0,-0.03300096820755178,0.0,-0.36301065028306956,0.0,-8.6462536703785613,0.0
ENSG00000228327,RP11-206L10.2,-21.667389333618452,0.00071890726096333576,-4.2633979219101876,0.0029197080291970801,36.825658338057643,0.0057142857142857143,-0.039762303220905015,0.0,-0.43738533542995517,0.0,-10.417723443877142,0.0
ENSG00000237491,RP11-206L10.9,-46.154360576190271,0.0,66.859120460835683,0.0043795620437956208,-11.613246730170319,0.0,-0.033180704943343596,0.0,-0.36498775437677949,0.0,-8.693344695156016,0.0
ENSG00000177757,FAM87B,-37.49819197561429,0.0,54.319810805794788,0.0029197080291970801,-9.435202869493029,0.0,-0.02695772248426595,0.0,-0.29653494732692542,0.0,-7.0629232908776522,0.0
ENSG00000225880,LINC00115,-23.192969683287792,0.0050323508267433505,8.2435036857278199,0.0087591240875912416,10.657536366144768,0.0085714285714285719,-0.080591296474757629,0.0,-0.88650426122233372,0.0,5.2590251891120907,0.0076335877862595417
ENSG00000230368,FAM41C,-37.428333363293156,0.0,12.284330114024396,0.0014598540145985401,32.516658419320279,0.0028571428571428571,-0.02690750062062738,0.0,-0.29598250682690114,0.0,-7.0497651626043396,0.0
ENSG00000187634,SAMD11,25.196383174642069,0.00071890726096333576,-13.18527308986218,0.0,-6.7370008488346542,0.0,-0.019248573853813181,0.0,-0.21173431239194498,0.0,-5.0431263496990653,0.0
ENSG00000188976,NOC2L,-14.751574097489916,0.100647016534867,-41.662919656017756,0.10218978102189781,26.121272789102871,0.11428571428571428,-0.30366485920858982,0.0,-3.3403134512944885,0.0,33.937199274910114,0.14503816793893129
ENSG00000187961,KLHL17,-11.849932883321769,0.002875629043853343,-6.3758164141548788,0.0029197080291970801,-18.846071967528022,0.0,-0.05384591990722306,0.0,4.7346783433843775,0.090909090909090912,32.390988841527296,0.0076335877862595417
ENSG00000187583,PLEKHN1,-5.7834293671899459,0.002875629043853343,17.23766900085371,0.0029197080291970801,-17.286139765945631,0.0,-0.049388970759844712,0.0,-0.5432786783582918,0.0,6.4245677814003663,0.0038167938931297708
ENSG00000272512,RP11-54O7.17,-44.753342958720374,0.0,64.829608958895818,0.0043795620437956208,-11.260726121892247,0.0,-0.032173503205406254,0.0,-0.35390853525946869,0.0,-8.4294578398164788,0.0
ENSG00000188290,HES4,-286.85423422972173,0.0043134435657800141,396.34276480496504,0.29051094890510948,-57.301751704741292,0.011428571428571429,-0.22405587235763255,0.0,0.058585687767970157,0.18181818181818182,-52.021308685911102,0.0076335877862595417
ENSG00000224969,RP11-54O7.11,-50.227352979286444,0.0,6.1789328057040684,0.0029197080291970801,53.942233772664885,0.0057142857142857143,-0.036108808755777246,0.0,-0.39719689631354976,0.0,-9.4605078940136647,0.0
ENSG00000187608,ISG15,-337.52970231858683,0.71531272465851903,462.61485566037834,2.6233576642335765,-126.82492823381591,0.48571428571428571,-0.75826456287346478,0.0,-6.3373291670252812,0.090909090909090912,8.835368621916281,1.0114503816793894
ENSG00000188157,AGRN,-52.34118289653459,0.00071890726096333576,83.685900947810879,0.010218978102189781,-17.581171983889341,0.0,-0.050231919953970007,0.0,-0.5525511194936702,0.0,-13.160763027940055,0.0
ENSG00000131591,C1orf159,41.010859428687326,0.011502516175413372,1.9124725722279352,0.0087591240875912416,-17.421692934436415,0.0057142857142857143,-0.0930716754251074,0.0,-1.0237884296761814,0.0,-24.384778961378228,0.0
ENSG00000186891,TNFRSF18,75.352007759706041,0.053918044572250183,-113.6337489119442,0.0029197080291970801,-30.664622390997078,0.025714285714285714,-0.1771492307356331,0.0,-1.9486415380919637,0.0,71.07215431206086,0.099236641221374045
ENSG00000186827,TNFRSF4,237.34899174289797,0.13731128684399713,-151.03547094811006,0.0029197080291970801,-71.439893858527171,0.0057142857142857143,-0.2309051345788721,0.0,-2.5399564803675929,0.0,-12.102765321318017,0.053435114503816793
ENSG00000078808,SDF4,8.1069410978278249,0.13731128684399713,-60.489997106537793,0.12554744525547445,-49.836011374529903,0.074285714285714288,-0.3608551389480002,0.0,-3.0578868761270588,0.090909090909090912,105.63780939831547,0.28244274809160308
ENSG00000176022,B3GALT6,-30.124041684166539,0.019410496046010063,4.7764259568813277,0.029197080291970802,1.3212275377965956,0.017142857142857144,-0.14252404424360993,0.0,-1.5677644866797096,0.0,25.736676720411314,0.034351145038167941
ENSG00000184163,FAM132A,-6.2690328630855268,0.00071890726096333576,0.48347334461210661,0.0014598540145985401,-11.354317318567462,0.0,-0.032440906624478565,0.0,-0.35684997286926423,0.0,17.529167716533845,0.0038167938931297708
ENSG00000260179,RP5-902P8.12,-26.774766230653526,0.0,38.785876315433313,0.0014598540145985401,-6.7370008488346551,0.0,-0.01924857385381322,0.0,-0.21173431239194546,0.0,-5.0431263496990661,0.0
