Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell
ENSG00000237683,AL627309.1,-66.850819502046264,0.0011600928074245939,61.59334282792701,0.0087591240875912416,5.9418650546886962,0.0035842293906810036,-0.68438838056811491,0.0
ENSG00000228463,AP006222.2,-27.930499957988193,0.00058004640371229696,12.741316220304258,0.0014598540145985401,15.585195356173729,0.0035842293906810036,-0.39601161849062133,0.0
ENSG00000228327,RP11-206L10.2,15.834228159194657,0.0017401392111368909,-4.2633979219101876,0.0029197080291970801,-11.09368259863254,0.0,-0.47714763865086018,0.0
ENSG00000237491,RP11-206L10.9,-57.203535322322757,0.0,66.859120460835683,0.0043795620437956208,-9.25741667919287,0.0,-0.39816845932012307,0.0
ENSG00000177757,FAM87B,-46.475113562875933,0.0,54.319810805794788,0.0029197080291970801,-7.5212045731101682,0.0,-0.3234926698111914,0.0
ENSG00000225880,LINC00115,-11.165381277072155,0.0058004640371229696,8.2435036857278199,0.0087591240875912416,3.8889731490412096,0.0071684587813620072,-0.96709555769709132,0.0
ENSG00000230368,FAM41C,-4.4542474334230526,0.00058004640371229696,12.284330114024396,0.0014598540145985401,-7.5071926731550018,0.0,-0.32289000744752849,0.0
ENSG00000187634,SAMD11,18.786608081322761,0.00058004640371229696,-13.18527308986218,0.0,-5.3703521052138949,0.0,-0.23098288624575816,0.0
ENSG00000188976,NOC2L,14.020207422624784,0.10382830626450117,-41.662919656017756,0.10218978102189781,31.286690543898828,0.13978494623655913,-3.6439783105030785,0.0
ENSG00000187961,KLHL17,-29.780624212426428,0.0023201856148491878,-6.3758164141548788,0.0029197080291970801,31.475608203104535,0.0071684587813620072,4.6808324234771543,0.083333333333333329
ENSG00000187583,PLEKHN1,-40.328980800245297,0.0017401392111368909,17.23766900085371,0.0029197080291970801,23.68397944850944,0.0071684587813620072,-0.59266764911813652,0.0
ENSG00000272512,RP11-54O7.17,-55.467119526120726,0.0,64.829608958895818,0.0043795620437956208,-8.9764073943083886,0.0,-0.38608203846487493,0.0
ENSG00000188290,HES4,-340.34703610437782,0.0058004640371229696,396.34276480496504,0.29051094890510948,-55.830258515990828,0.0071684587813620072,-0.16547018458966239,0.16666666666666666
ENSG00000224969,RP11-54O7.11,4.3287305422266549,0.0011600928074245939,6.1789328057040684,0.0029197080291970801,-10.074357642861882,0.0,-0.43330570506932703,0.0
ENSG00000187608,ISG15,-462.69351076290303,0.66763341067285387,462.61485566037834,2.6233576642335765,7.1742488324131912,1.0,-7.0955937298987459,0.083333333333333329
ENSG00000188157,AGRN,-69.068412241207525,0.00058004640371229696,83.685900947810879,0.010218978102189781,-14.01470566715753,0.0,-0.60278303944764022,0.0
ENSG00000131591,C1orf159,25.171384976477768,0.010440835266821345,1.9124725722279352,0.0087591240875912416,-25.966997443605063,0.0,-1.1168601051012887,0.0
ENSG00000186891,TNFRSF18,41.060545051648724,0.047563805104408351,-113.6337489119442,0.0029197080291970801,74.698994629124627,0.1003584229390681,-2.125790768827597,0.0
ENSG00000186827,TNFRSF4,164.97107678826021,0.11078886310904873,-151.03547094811006,0.0029197080291970801,-11.164744225207503,0.057347670250896057,-2.7708616149464649,0.0
ENSG00000078808,SDF4,-46.816109641212137,0.12354988399071926,-60.489997106537793,0.12554744525547445,110.72484876282704,0.27956989247311825,-3.4187420150750589,0.083333333333333329
ENSG00000176022,B3GALT6,-26.37990539422875,0.0191415313225058,4.7764259568813277,0.029197080291970802,23.313767968269932,0.032258064516129031,-1.7102885309233196,0.0
ENSG00000184163,FAM132A,-17.071854769036758,0.00058004640371229696,0.48347334461210661,0.0014598540145985401,16.977672303917689,0.0035842293906810036,-0.3892908794937428,0.0
ENSG00000260179,RP5-902P8.12,-33.18454132397305,0.0,38.785876315433313,0.0014598540145985401,-5.3703521052138958,0.0,-0.23098288624575869,0.0
ENSG00000160087,UBE2J2,15.786066189601263,0.11716937354988399,-58.355827569527854,0.10510948905109489,44.816371962288393,0.17204301075268819,-2.2466105823610647,0.16666666666666666
ENSG00000230415,RP5-902P8.10,18.78660808132296,0.00058004640371229696,-13.185273089862232,0.0,-5.3703521052139473,0.0,-0.23098288624575988,0.0
ENSG00000131584,ACAP3,0.66155788497086199,0.022041763341067284,-14.460866900419983,0.024817518248175182,15.561678759814257,0.035842293906810034,-1.7623697443651249,0.0
ENSG00000169972,PUSL1,-33.894025170977983,0.019721577726218097,8.2867406213529158,0.027737226277372264,27.376712662510354,0.039426523297491037,-1.7694281128845593,0.0
ENSG00000127054,CPSF3L,19.57990303575929,0.10150812064965198,-52.81214474453396,0.07153284671532846,36.269010949032896,0.11469534050179211,-3.0367692402567052,0.0
ENSG00000224051,GLTPD1,60.656287633519447,0.034222737819025524,-52.946210063997363,0.018978102189781021,-5.7618030512361358,0.021505376344086023,-1.9482745182847427,0.0
ENSG00000169962,TAS1R3,18.786608081322484,0.00058004640371229696,-13.185273089861974,0.0,-5.3703521052138097,0.0,-0.23098288624575611,0.0
ENSG00000107404,DVL1,-2.8663551901667663,0.0017401392111368909,15.383000562665179,0.0029197080291970801,-12.000495047857404,0.0,-0.51615032463903154,0.0
ENSG00000162576,MXRA8,41.730267637325021,0.0029002320185614848,-29.288148905294065,0.0,-11.929041670915616,0.0,-0.51307706111464957,0.0
