Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell
ENSG00000237683,AL627309.1,60.9659868124063,0.0086206896551724137,-60.965986812404061,0.0014970059880239522
ENSG00000228463,AP006222.2,12.37830557002118,0.0014367816091954023,-12.378305570022102,0.00099800399201596798
ENSG00000228327,RP11-206L10.2,-4.7007832573401416,0.0028735632183908046,4.700783257341377,0.0014970059880239522
ENSG00000237491,RP11-206L10.9,66.494132706458885,0.0043103448275862068,-66.494132706458714,0.0
ENSG00000177757,FAM87B,54.023275858467841,0.0028735632183908046,-54.023275858471308,0.0
ENSG00000225880,LINC00115,7.3569994245054851,0.0086206896551724137,-7.3569994245057,0.0059880239520958087
ENSG00000230368,FAM41C,11.988347607197493,0.0014367816091954023,-11.988347607199628,0.00049900199600798399
ENSG00000187634,SAMD11,-13.397007402254129,0.0,13.397007402255234,0.00049900199600798399
ENSG00000188976,NOC2L,-45.003233107312219,0.10057471264367816,45.003233107315289,0.10878243512974052
ENSG00000187961,KLHL17,-1.6411380707704302,0.0043103448275862068,1.6411380707714469,0.0029940119760479044
ENSG00000187583,PLEKHN1,16.694390322495401,0.0028735632183908046,-16.694390322495508,0.0024950099800399202
ENSG00000272512,RP11-54O7.17,64.475700423636397,0.0043103448275862068,-64.475700423634436,0.0
ENSG00000188290,HES4,391.93030489982675,0.28591954022988508,-391.93030489981351,0.0069860279441117763
ENSG00000224969,RP11-54O7.11,5.7817359093905161,0.0028735632183908046,-5.7817359093909291,0.00099800399201596798
ENSG00000187608,ISG15,453.96680771487109,2.5747126436781609,-453.96680771488252,0.71656686626746502
ENSG00000188157,AGRN,83.133349828317236,0.010057471264367816,-83.133349828319894,0.00049900199600798399
ENSG00000131591,C1orf159,0.88868414255175487,0.0086206896551724137,-0.88868414255245798,0.0089820359281437123
ENSG00000186891,TNFRSF18,-115.5823904500362,0.0028735632183908046,115.58239045003259,0.054890219560878244
ENSG00000186827,TNFRSF4,-153.5754274284777,0.0028735632183908046,153.57542742847338,0.10329341317365269
ENSG00000078808,SDF4,-63.547883982664835,0.125,63.547883982666448,0.14520958083832336
ENSG00000176022,B3GALT6,3.2086614702016232,0.028735632183908046,-3.2086614702020837,0.020958083832335328
ENSG00000184163,FAM132A,0.12662337174284233,0.0014367816091954023,-0.12662337174424851,0.00099800399201596798
ENSG00000260179,RP5-902P8.12,38.574142003041366,0.0014367816091954023,-38.574142003041331,0.0
ENSG00000160087,UBE2J2,-60.266531660982274,0.10632183908045977,60.266531660984498,0.124750499001996
ENSG00000230415,RP5-902P8.10,-13.397007402254181,0.0,13.397007402254642,0.00049900199600798399
ENSG00000131584,ACAP3,-16.076372499421336,0.02442528735632184,16.076372499422838,0.023952095808383235
ENSG00000169972,PUSL1,6.6647648512087407,0.027298850574712645,-6.6647648512081306,0.022455089820359281
ENSG00000127054,CPSF3L,-55.595849881435896,0.07040229885057471,55.595849881438014,0.10329341317365269
ENSG00000224051,GLTPD1,-54.732128372425016,0.018678160919540231,54.732128372426317,0.032435129740518959
ENSG00000169962,TAS1R3,-13.397007402253923,0.0,13.397007402254957,0.00049900199600798399
ENSG00000107404,DVL1,14.909862765079417,0.0028735632183908046,-14.909862765076364,0.0014970059880239522
ENSG00000162576,MXRA8,-29.758469544649142,0.0,29.758469544648715,0.0024950099800399202
ENSG00000175756,AURKAIP1,83.011560271297839,0.50862068965517238,-83.011560271303196,0.32035928143712578
ENSG00000221978,CCNL2,15.93822433585942,0.07040229885057471,-15.938224335859861,0.050399201596806387
ENSG00000224870,RP4-758J18.2,-75.549370613667776,0.020114942528735632,75.549370613663655,0.043912175648702596
ENSG00000242485,MRPL20,71.634295904088248,0.41810344827586204,-71.634295904091246,0.30988023952095806
ENSG00000235098,ANKRD65,54.473705690399498,0.0028735632183908046,-54.473705690398447,0.0
ENSG00000215915,ATAD3C,-30.287823600823863,0.0,30.287823600822804,0.012475049900199601
ENSG00000160072,ATAD3B,-31.36133827943285,0.0071839080459770114,31.361338279433699,0.011477045908183632
ENSG00000197785,ATAD3A,2.5340663270601587,0.021551724137931036,-2.5340663270604624,0.017964071856287425
ENSG00000160075,SSU72,65.315146194049007,0.55747126436781613,-65.315146194047031,0.40169660678642716
ENSG00000215014,AL645728.1,-8.4346392785096533,0.010057471264367816,8.4346392785085769,0.010978043912175649
ENSG00000228594,C1orf233,52.136874301733307,0.0086206896551724137,-52.136874301735858,0.0014970059880239522
ENSG00000272106,RP11-345P4.9,33.420142297658025,0.022988505747126436,-33.420142297658877,0.010978043912175649
ENSG00000197530,MIB2,-129.82150669470121,0.022988505747126436,129.82150669470892,0.089321357285429143
ENSG00000189409,MMP23B,-56.475973112246962,0.0014367816091954023,56.475973112250699,0.0099800399201596807
ENSG00000248333,CDK11B,0.36156101796091733,0.03017241379310345,-0.36156101796039108,0.021457085828343315
ENSG00000272004,RP11-345P4.10,-18.11074921315268,0.0,18.110749213153575,0.00099800399201596798
ENSG00000189339,SLC35E2B,-47.444660668110409,0.0086206896551724137,47.444660668109407,0.019960079840319361
ENSG00000008128,CDK11A,14.567767803735066,0.083333333333333329,-14.567767803733901,0.05738522954091816
ENSG00000215790,SLC35E2,-35.890787782587687,0.0028735632183908046,35.890787782589364,0.0069860279441117763
ENSG00000008130,NADK,204.28502604786675,0.12643678160919541,-204.28502604785518,0.022954091816367265
ENSG00000078369,GNB1,169.68373752393032,0.2471264367816092,-169.68373752393464,0.087824351297405193
