Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell,Cluster 4 Weight,Cluster 4 UMI counts/cell,Cluster 5 Weight,Cluster 5 UMI counts/cell,Cluster 6 Weight,Cluster 6 UMI counts/cell,Cluster 7 Weight,Cluster 7 UMI counts/cell
ENSG00000237683,AL627309.1,61.59334282792701,0.0087591240875912416,-47.859041941281284,0.0014378145219266715,6.7973505303988411,0.003787878787878788,-0.57032365047342914,0.0,-0.057032365047342916,0.0,-19.84726303647524,0.0,-0.057032365047342916,0.0
ENSG00000228463,AP006222.2,12.741316220304258,0.0014598540145985401,7.851287941207965,0.0014378145219266715,-8.7122556067936632,0.0,-0.33000968207551779,0.0,-0.03300096820755178,0.0,-11.484336936227942,0.0,-0.03300096820755178,0.0
ENSG00000228327,RP11-206L10.2,-4.2633979219101876,0.0029197080291970801,-21.667389333618452,0.00071890726096333576,-10.497248050318953,0.0,-0.39762303220905015,0.0,-0.039762303220905015,0.0,36.905182944499451,0.0057471264367816091,-0.039762303220905015,0.0
ENSG00000237491,RP11-206L10.9,66.859120460835683,0.0043795620437956208,-46.154360576190271,0.0,-8.7597061050427047,0.0,-0.33180704943343592,0.0,-0.033180704943343596,0.0,-11.54688532028363,0.0,-0.033180704943343596,0.0
ENSG00000177757,FAM87B,54.319810805794788,0.0029197080291970801,-37.49819197561429,0.0,-7.1168387358461835,0.0,-0.2695772248426595,0.0,-0.02695772248426595,0.0,-9.3812874245244977,0.0,-0.02695772248426595,0.0
ENSG00000225880,LINC00115,8.2435036857278199,0.0087591240875912416,-23.192969683287792,0.0050323508267433505,5.0978425961625753,0.007575757575757576,-0.80591296474757612,0.0,-0.080591296474757629,0.0,10.818718959094284,0.0086206896551724137,-0.080591296474757629,0.0
ENSG00000230368,FAM41C,12.284330114024396,0.0014598540145985401,-37.428333363293156,0.0,-7.103580163845594,0.0,-0.26907500620627378,0.0,-0.02690750062062738,0.0,32.570473420561534,0.0028735632183908046,-0.02690750062062738,0.0
ENSG00000187634,SAMD11,-13.18527308986218,0.0,25.196383174642069,0.00071890726096333576,-5.0816234974066923,0.0,-0.19248573853813181,0.0,-0.019248573853813181,0.0,-6.6985037011270272,0.0,-0.019248573853813181,0.0
ENSG00000188976,NOC2L,-41.662919656017756,0.10218978102189781,-14.751574097489916,0.100647016534867,35.841663432027673,0.14772727272727273,-3.0366485920858985,0.0,-0.30366485920858982,0.0,24.216808631985312,0.11206896551724138,-0.30366485920858982,0.0
ENSG00000187961,KLHL17,-6.3758164141548788,0.0029197080291970801,-11.849932883321769,0.002875629043853343,32.283297001712846,0.007575757575757576,-0.5384591990722305,0.0,5.2731375424566096,1.0,-18.73838012771358,0.0,-0.05384591990722306,0.0
ENSG00000187583,PLEKHN1,17.23766900085371,0.0029197080291970801,-5.7834293671899442,0.002875629043853343,6.3257898398806773,0.003787878787878788,-0.49388970759844714,0.0,-0.049388970759844712,0.0,-17.187361824425938,0.0,-0.049388970759844712,0.0
ENSG00000272512,RP11-54O7.17,64.829608958895818,0.0043795620437956208,-44.753342958720374,0.0,-8.4938048462272917,0.0,-0.32173503205406245,0.0,-0.032173503205406254,0.0,-11.196379115481434,0.0,-0.032173503205406254,0.0
ENSG00000188290,HES4,396.34276480496504,0.29051094890510948,-286.85423422972173,0.0043134435657800141,-52.469420430626364,0.007575757575757576,-2.2405587235763256,0.0,2.2991444113442956,2.0,-56.85363996002603,0.011494252873563218,-0.22405587235763255,0.0
ENSG00000224969,RP11-54O7.11,6.1789328057040684,0.0029197080291970801,-50.227352979286444,0.0,-9.5327255115252196,0.0,-0.3610880875577725,0.0,-0.036108808755777246,0.0,54.01445139017644,0.0057471264367816091,-0.036108808755777246,0.0
ENSG00000187608,ISG15,462.61485566037834,2.6233576642335765,-337.00798358922833,0.71603163191948238,7.0837844611567782,0.98106060606060608,-5.5790646041518164,0.10000000000000001,-0.75826456287346478,0.0,-125.59506280241493,0.50287356321839083,-0.75826456287346478,0.0
ENSG00000188157,AGRN,83.685900947810879,0.010218978102189781,-52.34118289653459,0.00071890726096333576,-13.261226867847993,0.0,-0.50231919953970017,0.0,-0.050231919953970007,0.0,-17.480708143981403,0.0,-0.050231919953970007,0.0
ENSG00000131591,C1orf159,1.9124725722279352,0.0087591240875912416,41.010859428687326,0.011502516175413372,-24.570922312228443,0.0,-0.93071675425107403,0.0,-0.0930716754251074,0.0,-17.235549583586199,0.0057471264367816091,-0.0930716754251074,0.0
ENSG00000186891,TNFRSF18,-113.6337489119442,0.0029197080291970801,75.352007759706041,0.053918044572250183,70.717855850589615,0.098484848484848481,-1.7714923073563307,0.0,-0.1771492307356331,0.0,-30.310323929525811,0.025862068965517241,-0.1771492307356331,0.0
ENSG00000186827,TNFRSF4,-151.03547094811006,0.0029197080291970801,237.34899174289799,0.13731128684399713,-12.564575590475762,0.053030303030303032,-2.309051345788721,0.0,-0.2309051345788721,0.0,-70.978083589369419,0.0057471264367816091,-0.2309051345788721,0.0
ENSG00000078808,SDF4,-60.489997106537793,0.12554744525547445,10.425547682047124,0.1387491013659238,106.59494690917857,0.28030303030303028,-3.6085513894800019,0.0,0.55066451335294309,1.0,-53.111755469612277,0.068965517241379309,-0.3608551389480002,0.0
