Gene ID,Gene Name,Cluster 1 Weight,Cluster 1 UMI counts/cell,Cluster 2 Weight,Cluster 2 UMI counts/cell,Cluster 3 Weight,Cluster 3 UMI counts/cell
ENSG00000237683,AL627309.1,7.367674180872271,0.003937007874015748,-68.961017008798152,0.0011357183418512209,61.59334282792701,0.0087591240875912416
ENSG00000228463,AP006222.2,-8.3822459247181538,0.0,-4.3590702955869007,0.0011357183418512209,12.741316220304258,0.0014598540145985401
ENSG00000228327,RP11-206L10.2,-10.099625018109895,0.0,14.363022940021121,0.0017035775127768314,-4.2633979219101876,0.0029197080291970801
ENSG00000237491,RP11-206L10.9,-8.4278990556092612,0.0,-58.431221405226367,0.0,66.859120460835683,0.0043795620437956208
ENSG00000177757,FAM87B,-6.8472615110035271,0.0,-47.472549294793893,0.0,54.319810805794788,0.0029197080291970801
ENSG00000225880,LINC00115,5.9037555609101524,0.007874015748031496,-14.147259246638191,0.0056785917092561046,8.2435036857278199,0.0087591240875912416
ENSG00000230368,FAM41C,-6.8345051576393221,0.0,-5.4498249563863865,0.00056785917092561046,12.284330114024396,0.0014598540145985401
ENSG00000187634,SAMD11,-4.8891377588685572,0.0,18.074410848731727,0.00056785917092561046,-13.18527308986218,0.0
ENSG00000188976,NOC2L,28.296826137989076,0.14173228346456693,13.36609351803134,0.1033503691084611,-41.662919656017756,0.10218978102189781
ENSG00000187961,KLHL17,38.148739663148923,0.011811023622047244,-31.772923248993582,0.0022714366837024418,-6.3758164141548788,0.0029197080291970801
ENSG00000187583,PLEKHN1,6.8196795474791223,0.003937007874015748,-24.057348548333447,0.0022714366837024418,17.23766900085371,0.0029197080291970801
ENSG00000272512,RP11-54O7.17,-8.1720698141732271,0.0,-56.657539144720765,0.0,64.829608958895818,0.0043795620437956208
ENSG00000188290,HES4,-47.705661423348126,0.015748031496062992,-348.63710338160939,0.0056785917092561046,396.34276480496504,0.29051094890510948
ENSG00000224969,RP11-54O7.11,-9.1716374239674447,0.0,2.9927046182629038,0.0011357183418512209,6.1789328057040684,0.0029197080291970801
ENSG00000187608,ISG15,12.491312911799845,1.0472440944881889,-475.10616857218918,0.66155593412833613,462.61485566037834,2.6233576642335765
ENSG00000188157,AGRN,-12.758907668308302,0.0,-70.926993279504515,0.00056785917092561046,83.685900947810879,0.010218978102189781
ENSG00000131591,C1orf159,-23.640205557977364,0.0,21.72773298574883,0.010221465076660987,1.9124725722279352,0.0087591240875912416
ENSG00000186891,TNFRSF18,72.48934815794594,0.10236220472440945,41.144400754000053,0.04770017035775128,-113.6337489119442,0.0029197080291970801
ENSG00000186827,TNFRSF4,-10.255524244687034,0.055118110236220472,161.29099519279328,0.10959681998864282,-151.03547094811006,0.0029197080291970801
ENSG00000078808,SDF4,97.9739189805329,0.27952755905511811,-37.483921873993836,0.1254968767745599,-60.489997106537793,0.12554744525547445
ENSG00000176022,B3GALT6,26.876869074360187,0.035433070866141732,-31.653295031242408,0.018739352640545145,4.7764259568813277,0.029197080291970802
ENSG00000184163,FAM132A,-8.2399902826175779,0.0,7.7565169380040455,0.0011357183418512209,0.48347334461210661,0.0014598540145985401
ENSG00000260179,RP5-902P8.12,-4.8891377588685581,0.0,-33.896738556564216,0.0,38.785876315433313,0.0014598540145985401
ENSG00000160087,UBE2J2,44.60363098372315,0.18110236220472442,13.752196585805363,0.11697898921067575,-58.355827569527854,0.10510948905109489
ENSG00000230415,RP5-902P8.10,-4.8891377588686096,0.0,18.074410848731794,0.00056785917092561046,-13.185273089862232,0.0
ENSG00000131584,ACAP3,12.56273799175187,0.035433070866141732,1.8981289086685362,0.022146507666098807,-14.460866900419983,0.024817518248175182
ENSG00000169972,PUSL1,31.063021231019846,0.043307086614173228,-39.349761852372033,0.019307211811470756,8.2867406213529158,0.027737226277372264
ENSG00000127054,CPSF3L,39.016442547051717,0.12204724409448819,13.795702197483616,0.099943214082907433,-52.81214474453396,0.07153284671532846
ENSG00000224051,GLTPD1,-8.805400492219329,0.01968503937007874,61.751610556218083,0.034071550255536626,-52.946210063997363,0.018978102189781021
ENSG00000169962,TAS1R3,-4.8891377588684941,0.0,18.07441084873145,0.00056785917092561046,-13.185273089861974,0.0
ENSG00000107404,DVL1,-10.92518187152611,0.0,-4.4578186911369517,0.0017035775127768314,15.383000562665179,0.0029197080291970801
ENSG00000162576,MXRA8,-10.860131126926762,0.0,40.148280032221365,0.0028392958546280523,-29.288148905294065,0.0
ENSG00000175756,AURKAIP1,37.812742050377373,0.49606299212598426,-124.7172013250491,0.29358319136854061,86.904459274666564,0.51532846715328462
ENSG00000221978,CCNL2,20.523243666596571,0.07874015748031496,-38.909655670117651,0.045996592844974447,18.386412003521503,0.07153284671532846
ENSG00000224870,RP4-758J18.2,20.517379595402172,0.055118110236220472,52.951418125339607,0.042021578648495171,-73.4687977207454,0.020437956204379562
ENSG00000242485,MRPL20,16.846845455060617,0.37007874015748032,-94.329204879279501,0.29982964224872233,77.48235942421779,0.42335766423357662
ENSG00000235098,ANKRD65,-6.9043519188430551,0.0,-47.868361138119617,0.0,54.772713056963561,0.0029197080291970801
ENSG00000215915,ATAD3C,51.601296831168639,0.074803149606299218,-21.792160097599016,0.0034071550255536627,-29.809136733569463,0.0
ENSG00000160072,ATAD3B,10.345578683783332,0.015748031496062992,19.934678646352612,0.010789324247586598,-30.280257330135147,0.0072992700729927005
ENSG00000197785,ATAD3A,26.793321199448542,0.03937007874015748,-35.662734966176259,0.014196479273140262,8.8694137667274084,0.023357664233576641
